
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 0 | train_loss: 0.9389:   0%|          | 0/50 [00:52<?, ?it/s]
Epoch 0 | train_loss: 0.9389:   2%|▏         | 1/50 [00:52<43:11, 52.89s/it]
Epoch 1 | train_loss: 0.6480:   2%|▏         | 1/50 [01:42<43:11, 52.89s/it]
Epoch 1 | train_loss: 0.6480:   4%|▍         | 2/50 [01:42<40:57, 51.19s/it]
Epoch 2 | train_loss: 0.4934:   4%|▍         | 2/50 [02:32<40:57, 51.19s/it]
Epoch 2 | train_loss: 0.4934:   6%|▌         | 3/50 [02:32<39:39, 50.63s/it]
Epoch 3 | train_loss: 0.4514:   6%|▌         | 3/50 [03:21<39:39, 50.63s/it]
Epoch 3 | train_loss: 0.4514:   8%|▊         | 4/50 [03:21<38:18, 49.97s/it]
Epoch 4 | train_loss: 0.3304:   8%|▊         | 4/50 [04:09<38:18, 49.97s/it]
Epoch 4 | train_loss: 0.3304:  10%|█         | 5/50 [04:09<36:57, 49.27s/it]
Epoch 5 | train_loss: 0.3760:  10%|█         | 5/50 [04:57<36:57, 49.27s/it]
Epoch 5 | train_loss: 0.3760:  12%|█▏        | 6/50 [04:57<35:50, 48.88s/it]
Epoch 6 | train_loss: 0.3086:  12%|█▏        | 6/50 [05:46<35:50, 48.88s/it]
Epoch 6 | train_loss: 0.3086:  14%|█▍        | 7/50 [05:46<34:58, 48.80s/it]
Epoch 7 | train_loss: 0.3236:  14%|█▍        | 7/50 [06:36<34:58, 48.80s/it]
Epoch 7 | train_loss: 0.3236:  16%|█▌        | 8/50 [06:36<34:29, 49.27s/it]
Epoch 8 | train_loss: 0.3490:  16%|█▌        | 8/50 [07:26<34:29, 49.27s/it]
Epoch 8 | train_loss: 0.3490:  18%|█▊        | 9/50 [07:26<33:39, 49.24s/it]
Epoch 9 | train_loss: 0.3486:  18%|█▊        | 9/50 [08:14<33:39, 49.24s/it]
Epoch 9 | train_loss: 0.3486:  20%|██        | 10/50 [08:14<32:35, 48.88s/it]
Epoch 10 | train_loss: 0.2579:  20%|██        | 10/50 [09:02<32:35, 48.88s/it]
Epoch 10 | train_loss: 0.2579:  22%|██▏       | 11/50 [09:02<31:42, 48.78s/it]
Epoch 11 | train_loss: 0.3068:  22%|██▏       | 11/50 [09:50<31:42, 48.78s/it]
Epoch 11 | train_loss: 0.3068:  24%|██▍       | 12/50 [09:50<30:44, 48.54s/it]
Epoch 12 | train_loss: 0.1667:  24%|██▍       | 12/50 [10:39<30:44, 48.54s/it]
Epoch 12 | train_loss: 0.1667:  26%|██▌       | 13/50 [10:39<30:00, 48.65s/it]
Epoch 13 | train_loss: 0.1733:  26%|██▌       | 13/50 [11:27<30:00, 48.65s/it]
Epoch 13 | train_loss: 0.1733:  28%|██▊       | 14/50 [11:27<29:02, 48.40s/it]
Epoch 14 | train_loss: 0.2527:  28%|██▊       | 14/50 [12:09<29:02, 48.40s/it]
Epoch 14 | train_loss: 0.2527:  30%|███       | 15/50 [12:09<27:10, 46.58s/it]
Epoch 15 | train_loss: 0.2439:  30%|███       | 15/50 [12:59<27:10, 46.58s/it]
