
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 0 | train_loss: 0.9430:   0%|          | 0/50 [00:53<?, ?it/s]
Epoch 0 | train_loss: 0.9430:   2%|▏         | 1/50 [00:53<43:42, 53.52s/it]
Epoch 1 | train_loss: 0.6499:   2%|▏         | 1/50 [01:47<43:42, 53.52s/it]
Epoch 1 | train_loss: 0.6499:   4%|▍         | 2/50 [01:47<42:47, 53.50s/it]
Epoch 2 | train_loss: 0.4754:   4%|▍         | 2/50 [02:36<42:47, 53.50s/it]
Epoch 2 | train_loss: 0.4754:   6%|▌         | 3/50 [02:36<40:18, 51.46s/it]
Epoch 3 | train_loss: 0.4685:   6%|▌         | 3/50 [03:27<40:18, 51.46s/it]
Epoch 3 | train_loss: 0.4685:   8%|▊         | 4/50 [03:27<39:29, 51.51s/it]
Epoch 4 | train_loss: 0.3030:   8%|▊         | 4/50 [04:18<39:29, 51.51s/it]
Epoch 4 | train_loss: 0.3030:  10%|█         | 5/50 [04:18<38:35, 51.45s/it]
Epoch 5 | train_loss: 0.3653:  10%|█         | 5/50 [05:10<38:35, 51.45s/it]
Epoch 5 | train_loss: 0.3653:  12%|█▏        | 6/50 [05:10<37:46, 51.51s/it]
Epoch 6 | train_loss: 0.2513:  12%|█▏        | 6/50 [06:00<37:46, 51.51s/it]
Epoch 6 | train_loss: 0.2513:  14%|█▍        | 7/50 [06:00<36:35, 51.07s/it]
Epoch 7 | train_loss: 0.3029:  14%|█▍        | 7/50 [06:48<36:35, 51.07s/it]
Epoch 7 | train_loss: 0.3029:  16%|█▌        | 8/50 [06:48<35:05, 50.13s/it]
Epoch 8 | train_loss: 0.3589:  16%|█▌        | 8/50 [07:34<35:05, 50.13s/it]
Epoch 8 | train_loss: 0.3589:  18%|█▊        | 9/50 [07:34<33:16, 48.69s/it]
Epoch 9 | train_loss: 0.3274:  18%|█▊        | 9/50 [08:21<33:16, 48.69s/it]
Epoch 9 | train_loss: 0.3274:  20%|██        | 10/50 [08:21<32:01, 48.05s/it]
Epoch 10 | train_loss: 0.2374:  20%|██        | 10/50 [09:09<32:01, 48.05s/it]
Epoch 10 | train_loss: 0.2374:  22%|██▏       | 11/50 [09:09<31:17, 48.13s/it]
Epoch 11 | train_loss: 0.2997:  22%|██▏       | 11/50 [09:58<31:17, 48.13s/it]
Epoch 11 | train_loss: 0.2997:  24%|██▍       | 12/50 [09:58<30:35, 48.31s/it]
Epoch 12 | train_loss: 0.1251:  24%|██▍       | 12/50 [10:43<30:35, 48.31s/it]
Epoch 12 | train_loss: 0.1251:  26%|██▌       | 13/50 [10:43<29:10, 47.32s/it]
Epoch 13 | train_loss: 0.1623:  26%|██▌       | 13/50 [11:31<29:10, 47.32s/it]
Epoch 13 | train_loss: 0.1623:  28%|██▊       | 14/50 [11:31<28:33, 47.60s/it]
Epoch 14 | train_loss: 0.2327:  28%|██▊       | 14/50 [12:17<28:33, 47.60s/it]
Epoch 14 | train_loss: 0.2327:  30%|███       | 15/50 [12:17<27:35, 47.31s/it]
Epoch 15 | train_loss: 0.2280:  30%|███       | 15/50 [13:08<27:35, 47.31s/it]
Epoch 15 | train_loss: 0.2280:  32%|███▏      | 16/50 [13:08<27:19, 48.23s/it]
Epoch 16 | train_loss: 0.2775:  32%|███▏      | 16/50 [13:58<27:19, 48.23s/it]
Epoch 16 | train_loss: 0.2775:  34%|███▍      | 17/50 [13:58<26:48, 48.74s/it]
Epoch 17 | train_loss: 0.2521:  34%|███▍      | 17/50 [14:47<26:48, 48.74s/it]
Epoch 17 | train_loss: 0.2521:  36%|███▌      | 18/50 [14:47<26:05, 48.92s/it]
Epoch 18 | train_loss: 0.1647:  36%|███▌      | 18/50 [15:36<26:05, 48.92s/it]
Epoch 18 | train_loss: 0.1647:  38%|███▊      | 19/50 [15:36<25:20, 49.04s/it]
Epoch 19 | train_loss: 0.1475:  38%|███▊      | 19/50 [16:26<25:20, 49.04s/it]
Epoch 19 | train_loss: 0.1475:  40%|████      | 20/50 [16:26<24:34, 49.16s/it]
Epoch 20 | train_loss: 0.1947:  40%|████      | 20/50 [17:14<24:34, 49.16s/it]
Epoch 20 | train_loss: 0.1947:  42%|████▏     | 21/50 [17:14<23:40, 48.97s/it]
Epoch 21 | train_loss: 0.1934:  42%|████▏     | 21/50 [18:03<23:40, 48.97s/it]
Epoch 21 | train_loss: 0.1934:  44%|████▍     | 22/50 [18:03<22:47, 48.84s/it]
Epoch 22 | train_loss: 0.1404:  44%|████▍     | 22/50 [18:50<22:47, 48.84s/it]
Epoch 22 | train_loss: 0.1404:  46%|████▌     | 23/50 [18:50<21:45, 48.34s/it]
Epoch 23 | train_loss: 0.2509:  46%|████▌     | 23/50 [19:40<21:45, 48.34s/it]
Epoch 23 | train_loss: 0.2509:  48%|████▊     | 24/50 [19:40<21:06, 48.72s/it]
Epoch 24 | train_loss: 0.1614:  48%|████▊     | 24/50 [20:27<21:06, 48.72s/it]
Epoch 24 | train_loss: 0.1614:  50%|█████     | 25/50 [20:27<20:09, 48.40s/it]
Epoch 25 | train_loss: 0.2320:  50%|█████     | 25/50 [21:15<20:09, 48.40s/it]
Epoch 25 | train_loss: 0.2320:  52%|█████▏    | 26/50 [21:15<19:19, 48.31s/it]
Epoch 26 | train_loss: 0.1524:  52%|█████▏    | 26/50 [22:03<19:19, 48.31s/it]
Epoch 26 | train_loss: 0.1524:  54%|█████▍    | 27/50 [22:03<18:26, 48.10s/it]
Epoch 27 | train_loss: 0.1326:  54%|█████▍    | 27/50 [22:51<18:26, 48.10s/it]
Epoch 27 | train_loss: 0.1326:  56%|█████▌    | 28/50 [22:51<17:35, 47.96s/it]
Epoch 28 | train_loss: 0.1062:  56%|█████▌    | 28/50 [23:38<17:35, 47.96s/it]
Epoch 28 | train_loss: 0.1062:  58%|█████▊    | 29/50 [23:38<16:41, 47.68s/it]
Epoch 29 | train_loss: 0.1423:  58%|█████▊    | 29/50 [24:27<16:41, 47.68s/it]
Epoch 29 | train_loss: 0.1423:  60%|██████    | 30/50 [24:27<16:02, 48.11s/it]
Epoch 30 | train_loss: 0.1731:  60%|██████    | 30/50 [25:16<16:02, 48.11s/it]
