
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 0 | train_loss: 1.0512:   0%|          | 0/50 [01:06<?, ?it/s]
Epoch 0 | train_loss: 1.0512:   2%|▏         | 1/50 [01:06<54:31, 66.77s/it]
Epoch 1 | train_loss: 0.5828:   2%|▏         | 1/50 [02:13<54:31, 66.77s/it]
Epoch 1 | train_loss: 0.5828:   4%|▍         | 2/50 [02:13<53:29, 66.87s/it]
Epoch 2 | train_loss: 0.4765:   4%|▍         | 2/50 [03:19<53:29, 66.87s/it]
Epoch 2 | train_loss: 0.4765:   6%|▌         | 3/50 [03:19<52:09, 66.59s/it]
Epoch 3 | train_loss: 0.3888:   6%|▌         | 3/50 [04:29<52:09, 66.59s/it]
Epoch 3 | train_loss: 0.3888:   8%|▊         | 4/50 [04:29<52:01, 67.85s/it]
Epoch 4 | train_loss: 0.2964:   8%|▊         | 4/50 [05:37<52:01, 67.85s/it]
Epoch 4 | train_loss: 0.2964:  10%|█         | 5/50 [05:37<50:54, 67.88s/it]
Epoch 5 | train_loss: 0.2234:  10%|█         | 5/50 [06:46<50:54, 67.88s/it]
Epoch 5 | train_loss: 0.2234:  12%|█▏        | 6/50 [06:46<50:02, 68.24s/it]
Epoch 6 | train_loss: 0.1530:  12%|█▏        | 6/50 [07:54<50:02, 68.24s/it]
Epoch 6 | train_loss: 0.1530:  14%|█▍        | 7/50 [07:54<48:48, 68.10s/it]
Epoch 7 | train_loss: 0.1045:  14%|█▍        | 7/50 [09:02<48:48, 68.10s/it]
Epoch 7 | train_loss: 0.1045:  16%|█▌        | 8/50 [09:02<47:40, 68.10s/it]
Epoch 8 | train_loss: 0.0777:  16%|█▌        | 8/50 [10:11<47:40, 68.10s/it]
Epoch 8 | train_loss: 0.0777:  18%|█▊        | 9/50 [10:11<46:48, 68.51s/it]
Epoch 9 | train_loss: 0.0553:  18%|█▊        | 9/50 [11:20<46:48, 68.51s/it]
Epoch 9 | train_loss: 0.0553:  20%|██        | 10/50 [11:20<45:42, 68.56s/it]
Epoch 10 | train_loss: 0.0417:  20%|██        | 10/50 [12:30<45:42, 68.56s/it]
Epoch 10 | train_loss: 0.0417:  22%|██▏       | 11/50 [12:30<44:51, 69.00s/it]
Epoch 11 | train_loss: 0.0336:  22%|██▏       | 11/50 [13:37<44:51, 69.00s/it]
Epoch 11 | train_loss: 0.0336:  24%|██▍       | 12/50 [13:37<43:18, 68.38s/it]
Epoch 12 | train_loss: 0.0321:  24%|██▍       | 12/50 [14:46<43:18, 68.38s/it]
Epoch 12 | train_loss: 0.0321:  26%|██▌       | 13/50 [14:46<42:17, 68.57s/it]
Epoch 13 | train_loss: 0.0314:  26%|██▌       | 13/50 [15:56<42:17, 68.57s/it]
Epoch 13 | train_loss: 0.0314:  28%|██▊       | 14/50 [15:56<41:19, 68.87s/it]
Epoch 14 | train_loss: 0.0309:  28%|██▊       | 14/50 [17:04<41:19, 68.87s/it]
Epoch 14 | train_loss: 0.0309:  30%|███       | 15/50 [17:04<40:10, 68.86s/it]
Epoch 15 | train_loss: 0.0293:  30%|███       | 15/50 [18:14<40:10, 68.86s/it]
Epoch 15 | train_loss: 0.0293:  32%|███▏      | 16/50 [18:14<39:10, 69.13s/it]
Epoch 16 | train_loss: 0.0272:  32%|███▏      | 16/50 [19:24<39:10, 69.13s/it]
Epoch 16 | train_loss: 0.0272:  34%|███▍      | 17/50 [19:24<38:08, 69.36s/it]
Epoch 17 | train_loss: 0.0313:  34%|███▍      | 17/50 [20:34<38:08, 69.36s/it]
Epoch 17 | train_loss: 0.0313:  36%|███▌      | 18/50 [20:34<37:07, 69.60s/it]
Epoch 18 | train_loss: 0.0240:  36%|███▌      | 18/50 [21:44<37:07, 69.60s/it]
Epoch 18 | train_loss: 0.0240:  38%|███▊      | 19/50 [21:44<35:54, 69.51s/it]
Epoch 19 | train_loss: 0.0252:  38%|███▊      | 19/50 [22:53<35:54, 69.51s/it]
Epoch 19 | train_loss: 0.0252:  40%|████      | 20/50 [22:53<34:40, 69.34s/it]
Epoch 20 | train_loss: 0.0350:  40%|████      | 20/50 [24:00<34:40, 69.34s/it]
Epoch 20 | train_loss: 0.0350:  42%|████▏     | 21/50 [24:00<33:12, 68.72s/it]
Epoch 21 | train_loss: 0.0213:  42%|████▏     | 21/50 [25:08<33:12, 68.72s/it]
Epoch 21 | train_loss: 0.0213:  44%|████▍     | 22/50 [25:08<32:02, 68.66s/it]
Epoch 22 | train_loss: 0.0238:  44%|████▍     | 22/50 [26:16<32:02, 68.66s/it]
Epoch 22 | train_loss: 0.0238:  46%|████▌     | 23/50 [26:16<30:48, 68.48s/it]
Epoch 23 | train_loss: 0.0235:  46%|████▌     | 23/50 [27:25<30:48, 68.48s/it]
Epoch 23 | train_loss: 0.0235:  48%|████▊     | 24/50 [27:25<29:42, 68.55s/it]
Epoch 24 | train_loss: 0.0230:  48%|████▊     | 24/50 [28:34<29:42, 68.55s/it]
Epoch 24 | train_loss: 0.0230:  50%|█████     | 25/50 [28:34<28:39, 68.78s/it]
Epoch 25 | train_loss: 0.0190:  50%|█████     | 25/50 [29:42<28:39, 68.78s/it]
Epoch 25 | train_loss: 0.0190:  52%|█████▏    | 26/50 [29:42<27:18, 68.29s/it]
Epoch 26 | train_loss: 0.0208:  52%|█████▏    | 26/50 [30:51<27:18, 68.29s/it]
Epoch 26 | train_loss: 0.0208:  54%|█████▍    | 27/50 [30:51<26:20, 68.73s/it]
