
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 0 | train_loss: 1.1161:   0%|          | 0/50 [00:53<?, ?it/s]
Epoch 0 | train_loss: 1.1161:   2%|▏         | 1/50 [00:53<43:49, 53.67s/it]
Epoch 1 | train_loss: 0.5710:   2%|▏         | 1/50 [01:44<43:49, 53.67s/it]
Epoch 1 | train_loss: 0.5710:   4%|▍         | 2/50 [01:44<41:29, 51.87s/it]
Epoch 2 | train_loss: 0.4810:   4%|▍         | 2/50 [02:34<41:29, 51.87s/it]
Epoch 2 | train_loss: 0.4810:   6%|▌         | 3/50 [02:34<40:09, 51.26s/it]
Epoch 3 | train_loss: 0.3849:   6%|▌         | 3/50 [03:24<40:09, 51.26s/it]
Epoch 3 | train_loss: 0.3849:   8%|▊         | 4/50 [03:24<38:54, 50.75s/it]
Epoch 4 | train_loss: 0.3198:   8%|▊         | 4/50 [04:16<38:54, 50.75s/it]
Epoch 4 | train_loss: 0.3198:  10%|█         | 5/50 [04:16<38:16, 51.02s/it]
Epoch 5 | train_loss: 0.2386:  10%|█         | 5/50 [05:08<38:16, 51.02s/it]
Epoch 5 | train_loss: 0.2386:  12%|█▏        | 6/50 [05:08<37:36, 51.29s/it]
Epoch 6 | train_loss: 0.1814:  12%|█▏        | 6/50 [05:58<37:36, 51.29s/it]
Epoch 6 | train_loss: 0.1814:  14%|█▍        | 7/50 [05:58<36:34, 51.04s/it]
Epoch 7 | train_loss: 0.1389:  14%|█▍        | 7/50 [06:49<36:34, 51.04s/it]
Epoch 7 | train_loss: 0.1389:  16%|█▌        | 8/50 [06:49<35:47, 51.12s/it]
Epoch 8 | train_loss: 0.1054:  16%|█▌        | 8/50 [07:41<35:47, 51.12s/it]
Epoch 8 | train_loss: 0.1054:  18%|█▊        | 9/50 [07:41<35:06, 51.38s/it]
Epoch 9 | train_loss: 0.0808:  18%|█▊        | 9/50 [08:32<35:06, 51.38s/it]
Epoch 9 | train_loss: 0.0808:  20%|██        | 10/50 [08:32<34:11, 51.28s/it]
Epoch 10 | train_loss: 0.0618:  20%|██        | 10/50 [09:23<34:11, 51.28s/it]
Epoch 10 | train_loss: 0.0618:  22%|██▏       | 11/50 [09:23<33:06, 50.95s/it]
Epoch 11 | train_loss: 0.0536:  22%|██▏       | 11/50 [10:13<33:06, 50.95s/it]
Epoch 11 | train_loss: 0.0536:  24%|██▍       | 12/50 [10:13<32:04, 50.63s/it]
Epoch 12 | train_loss: 0.0468:  24%|██▍       | 12/50 [11:03<32:04, 50.63s/it]
Epoch 12 | train_loss: 0.0468:  26%|██▌       | 13/50 [11:03<31:11, 50.59s/it]
Epoch 13 | train_loss: 0.0374:  26%|██▌       | 13/50 [11:53<31:11, 50.59s/it]
Epoch 13 | train_loss: 0.0374:  28%|██▊       | 14/50 [11:53<30:14, 50.39s/it]
Epoch 14 | train_loss: 0.0326:  28%|██▊       | 14/50 [12:43<30:14, 50.39s/it]
Epoch 14 | train_loss: 0.0326:  30%|███       | 15/50 [12:43<29:24, 50.41s/it]
Epoch 15 | train_loss: 0.0326:  30%|███       | 15/50 [13:35<29:24, 50.41s/it]
Epoch 15 | train_loss: 0.0326:  32%|███▏      | 16/50 [13:35<28:50, 50.90s/it]
Epoch 16 | train_loss: 0.0345:  32%|███▏      | 16/50 [14:26<28:50, 50.90s/it]
Epoch 16 | train_loss: 0.0345:  34%|███▍      | 17/50 [14:26<27:59, 50.91s/it]
Epoch 17 | train_loss: 0.0275:  34%|███▍      | 17/50 [15:18<27:59, 50.91s/it]
Epoch 17 | train_loss: 0.0275:  36%|███▌      | 18/50 [15:18<27:15, 51.12s/it]
Epoch 18 | train_loss: 0.0294:  36%|███▌      | 18/50 [16:09<27:15, 51.12s/it]
Epoch 18 | train_loss: 0.0294:  38%|███▊      | 19/50 [16:09<26:23, 51.09s/it]
Epoch 19 | train_loss: 0.0292:  38%|███▊      | 19/50 [17:01<26:23, 51.09s/it]
Epoch 19 | train_loss: 0.0292:  40%|████      | 20/50 [17:01<25:36, 51.23s/it]
Epoch 20 | train_loss: 0.0297:  40%|████      | 20/50 [17:52<25:36, 51.23s/it]
Epoch 20 | train_loss: 0.0297:  42%|████▏     | 21/50 [17:52<24:45, 51.22s/it]
Epoch 21 | train_loss: 0.0263:  42%|████▏     | 21/50 [18:43<24:45, 51.22s/it]
Epoch 21 | train_loss: 0.0263:  44%|████▍     | 22/50 [18:43<23:51, 51.14s/it]
Epoch 22 | train_loss: 0.0242:  44%|████▍     | 22/50 [19:34<23:51, 51.14s/it]
Epoch 22 | train_loss: 0.0242:  46%|████▌     | 23/50 [19:34<22:58, 51.06s/it]
Epoch 23 | train_loss: 0.0227:  46%|████▌     | 23/50 [20:24<22:58, 51.06s/it]
Epoch 23 | train_loss: 0.0227:  48%|████▊     | 24/50 [20:24<22:04, 50.95s/it]
Epoch 24 | train_loss: 0.0239:  48%|████▊     | 24/50 [21:16<22:04, 50.95s/it]
Epoch 24 | train_loss: 0.0239:  50%|█████     | 25/50 [21:16<21:16, 51.08s/it]
Epoch 25 | train_loss: 0.0219:  50%|█████     | 25/50 [22:07<21:16, 51.08s/it]
Epoch 25 | train_loss: 0.0219:  52%|█████▏    | 26/50 [22:07<20:27, 51.15s/it]
Epoch 26 | train_loss: 0.0225:  52%|█████▏    | 26/50 [22:57<20:27, 51.15s/it]
Epoch 26 | train_loss: 0.0225:  54%|█████▍    | 27/50 [22:57<19:29, 50.86s/it]
Epoch 27 | train_loss: 0.0211:  54%|█████▍    | 27/50 [23:49<19:29, 50.86s/it]
Epoch 27 | train_loss: 0.0211:  56%|█████▌    | 28/50 [23:49<18:43, 51.07s/it]
Epoch 28 | train_loss: 0.0263:  56%|█████▌    | 28/50 [24:40<18:43, 51.07s/it]
Epoch 28 | train_loss: 0.0263:  58%|█████▊    | 29/50 [24:40<17:51, 51.02s/it]
Epoch 29 | train_loss: 0.0263:  58%|█████▊    | 29/50 [25:30<17:51, 51.02s/it]
Epoch 29 | train_loss: 0.0263:  60%|██████    | 30/50 [25:30<16:57, 50.88s/it]
Epoch 30 | train_loss: 0.0233:  60%|██████    | 30/50 [26:20<16:57, 50.88s/it]
Epoch 30 | train_loss: 0.0233:  62%|██████▏   | 31/50 [26:20<16:00, 50.56s/it]
Epoch 31 | train_loss: 0.0220:  62%|██████▏   | 31/50 [27:10<16:00, 50.56s/it]
Epoch 31 | train_loss: 0.0220:  64%|██████▍   | 32/50 [27:10<15:06, 50.38s/it]
Epoch 32 | train_loss: 0.0230:  64%|██████▍   | 32/50 [28:01<15:06, 50.38s/it]
Epoch 32 | train_loss: 0.0230:  66%|██████▌   | 33/50 [28:01<14:17, 50.46s/it]
Epoch 33 | train_loss: 0.0220:  66%|██████▌   | 33/50 [28:51<14:17, 50.46s/it]
Epoch 33 | train_loss: 0.0220:  68%|██████▊   | 34/50 [28:51<13:26, 50.41s/it]
Epoch 34 | train_loss: 0.0213:  68%|██████▊   | 34/50 [29:42<13:26, 50.41s/it]
Epoch 34 | train_loss: 0.0213:  70%|███████   | 35/50 [29:42<12:37, 50.51s/it]
Epoch 35 | train_loss: 0.0213:  70%|███████   | 35/50 [30:33<12:37, 50.51s/it]
Epoch 35 | train_loss: 0.0213:  72%|███████▏  | 36/50 [30:33<11:50, 50.71s/it]
Epoch 36 | train_loss: 0.0209:  72%|███████▏  | 36/50 [31:24<11:50, 50.71s/it]
Epoch 36 | train_loss: 0.0209:  74%|███████▍  | 37/50 [31:24<11:00, 50.82s/it]
Epoch 37 | train_loss: 0.0183:  74%|███████▍  | 37/50 [32:15<11:00, 50.82s/it]
Epoch 37 | train_loss: 0.0183:  76%|███████▌  | 38/50 [32:15<10:09, 50.79s/it]
Epoch 38 | train_loss: 0.0235:  76%|███████▌  | 38/50 [33:06<10:09, 50.79s/it]
Epoch 38 | train_loss: 0.0235:  78%|███████▊  | 39/50 [33:06<09:21, 51.06s/it]
Epoch 39 | train_loss: 0.0204:  78%|███████▊  | 39/50 [33:56<09:21, 51.06s/it]
Epoch 39 | train_loss: 0.0204:  80%|████████  | 40/50 [33:56<08:27, 50.79s/it]
Epoch 40 | train_loss: 0.0207:  80%|████████  | 40/50 [34:36<08:27, 50.79s/it]
Epoch 40 | train_loss: 0.0207:  82%|████████▏ | 41/50 [34:36<07:07, 47.54s/it]
Epoch 41 | train_loss: 0.0202:  82%|████████▏ | 41/50 [35:28<07:07, 47.54s/it]
Epoch 41 | train_loss: 0.0202:  84%|████████▍ | 42/50 [35:28<06:31, 48.90s/it]
Epoch 42 | train_loss: 0.0228:  84%|████████▍ | 42/50 [36:19<06:31, 48.90s/it]
Epoch 42 | train_loss: 0.0228:  86%|████████▌ | 43/50 [36:19<05:45, 49.37s/it]
Epoch 43 | train_loss: 0.0206:  86%|████████▌ | 43/50 [37:10<05:45, 49.37s/it]
Epoch 43 | train_loss: 0.0206:  88%|████████▊ | 44/50 [37:10<04:59, 49.98s/it]
Epoch 44 | train_loss: 0.0215:  88%|████████▊ | 44/50 [38:02<04:59, 49.98s/it]
Epoch 44 | train_loss: 0.0215:  90%|█████████ | 45/50 [38:02<04:12, 50.57s/it]
Epoch 45 | train_loss: 0.0166:  90%|█████████ | 45/50 [38:53<04:12, 50.57s/it]
Epoch 45 | train_loss: 0.0166:  92%|█████████▏| 46/50 [38:53<03:22, 50.72s/it]
Epoch 46 | train_loss: 0.0171:  92%|█████████▏| 46/50 [39:45<03:22, 50.72s/it]
Epoch 46 | train_loss: 0.0171:  94%|█████████▍| 47/50 [39:45<02:33, 51.04s/it]
Epoch 47 | train_loss: 0.0189:  94%|█████████▍| 47/50 [40:37<02:33, 51.04s/it]
Epoch 47 | train_loss: 0.0189:  96%|█████████▌| 48/50 [40:37<01:42, 51.24s/it]
Epoch 48 | train_loss: 0.0228:  96%|█████████▌| 48/50 [41:29<01:42, 51.24s/it]
Epoch 48 | train_loss: 0.0228:  98%|█████████▊| 49/50 [41:29<00:51, 51.53s/it]
Epoch 49 | train_loss: 0.0171:  98%|█████████▊| 49/50 [42:22<00:51, 51.53s/it]
Epoch 49 | train_loss: 0.0171: 100%|██████████| 50/50 [42:22<00:00, 51.82s/it]
Epoch 49 | train_loss: 0.0171: 100%|██████████| 50/50 [42:22<00:00, 50.84s/it]
